medlemmer,n,medlemmer_short_party,medlemmer_short
Assurandør Klaus Bernhardt Tastesen. (S),11,Bernhardt Tastesen. (S),Bernhardt Tastesen
Cigarsorterer Henning Jensen. (S),11,Henning Jensen. (S),Henning Jensen
Direktør Ole Leif Glensgård. (FP),11,Leif Glensgård. (FP),Leif Glensgård
Journalist Gert Verner Petersen. (SF),11,Verner Petersen. (SF),Verner Petersen
Karen Thurøe Hansen. (KF),11,Thurøe Hansen. (KF),Thurøe Hansen
Overpostbud Normann Andersen. (S),11,Normann Andersen. (S),Normann Andersen
Pelsdyravler Ove Jensen. (FP),11,Ove Jensen. (FP),Ove Jensen
Politiassistent Otto Johannes Mørch. (S),11,Johannes Mørch. (S),Johannes Mørch
Sekretær Søren Bødker Jørgensen. (S),11,Bødker Jørgensen. (S),Bødker Jørgensen
Skoledirektør Christian Christensen. (KrF),11,Christian Christensen. (KrF),Christian Christensen
Bernhard Baunsgaard. (RV),10,Bernhard Baunsgaard. (RV),Bernhard Baunsgaard
Børnehavepædagog Ebba Marie Strange. (SF),10,Marie Strange. (SF),Marie Strange
Entreprenør Helge Dohrmann. (FP),10,Helge Dohrmann. (FP),Helge Dohrmann
Fhv. borgmester Thomas Erik Have. (S),10,Erik Have. (S),Erik Have
Fodermester Kristen Kristensen Poulsgaard. (FP),10,Kristensen Poulsgaard. (FP),Kristensen Poulsgaard
Forfatter Mette Marie Madsen. (V),10,Marie Madsen. (V),Marie Madsen
Kristian Albertsen. (S),10,Kristian Albertsen. (S),Kristian Albertsen
Maskinarbejder Kaj Poulsen. (S),10,Kaj Poulsen. (S),Kaj Poulsen
Overlærer Arne Christian Bjerregaard. (KrF),10,Christian Bjerregaard. (KrF),Christian Bjerregaard
Overlærer Børge Halvgaard. (FP),10,Børge Halvgaard. (FP),Børge Halvgaard
Statsautoriseret ejendomsmægler Kirsten Jacobsen. (FP),10,Kirsten Jacobsen. (FP),Kirsten Jacobsen
Universitetslektor Steen Folke. (VS),10,Steen Folke. (VS),Steen Folke
Advokat Steffen Kjærulff-Schmidt. (FP),9,NA,NA
Fhv. minister Erik Ninn-Hansen. (KF),9,NA,NA
Fhv. minister Henry Grünbaum. (S),9,NA,NA
Gårdejer Johannes Jørgen Dixen Burgdorf. (KF),9,Dixen Burgdorf. (KF),Dixen Burgdorf
Journalist Lasse Johan Albert Bayer Budtz. (S),9,Bayer Budtz. (S),Bayer Budtz
Landsretssagfører Mogens Glistrup. (FP),9,Mogens Glistrup. (FP),Mogens Glistrup
Landsretssagfører Nicolai Hagen Hagensen. (KF),9,Hagen Hagensen. (KF),Hagen Hagensen
Major Erik Andersen. (S),9,Erik Andersen. (S),Erik Andersen
Major Jens Kristian Hansen. (S),9,Kristian Hansen. (S),Kristian Hansen
Overlæge Inge Marie Emilie Krogh. (KrF),9,Emilie Krogh. (KrF),Emilie Krogh
Redaktør Knud Alfred Damgaard. (S),9,Alfred Damgaard. (S),Alfred Damgaard
Redaktør Svend Erik Hovmand. (V),9,Erik Hovmand. (V),Erik Hovmand
Sekretær Svend Holger Arne Andersen. (S),9,Arne Andersen. (S),Arne Andersen
Socialrådgiver Inge Fischer Møller. (S),9,Fischer Møller. (S),Fischer Møller
Cand. mag. Preben Wilhjelm. (VS),8,Preben Wilhjelm. (VS),Preben Wilhjelm
Cand. polit. Robert Lafarque Pedersen. (S),8,Lafarque Pedersen. (S),Lafarque Pedersen
Chauffør Mogens Voigt. (FP),8,Mogens Voigt. (FP),Mogens Voigt
Direktør Arne Melchior. (CD),8,Arne Melchior. (CD),Arne Melchior
Fabrikant Erling Askjær Jørgensen. (FP),8,Askjær Jørgensen. (FP),Askjær Jørgensen
Fabrikant Johan Daniel Lawaetz. (FP),8,Daniel Lawaetz. (FP),Daniel Lawaetz
Fabrikant Ole Bøg Maisted. (FP),8,Bøg Maisted. (FP),Bøg Maisted
"Fhv. borgmester, cand. polit. Erhard Villiam Jakobsen. (CD)",8,Villiam Jakobsen. (CD),Villiam Jakobsen
Frimærkehandler Jørgen Junior. (FP),8,Jørgen Junior. (FP),Jørgen Junior
"Fuldmægtig, cand. jur. Grethe Fenger Møller. (KF)",8,Fenger Møller. (KF),Fenger Møller
Gerda Edith Møller. (KF),8,Edith Møller. (KF),Edith Møller
Gårdejer Henrik Toft. (V),8,Henrik Toft. (V),Henrik Toft
Journalist Birte Weiss. (S),8,Birte Weiss. (S),Birte Weiss
"Professor, dr. jur. Ole Mogens Espersen. (S)",8,Mogens Espersen. (S),Mogens Espersen
Statsminister Anker Henrik Jørgensen. (S),8,Henrik Jørgensen. (S),Henrik Jørgensen
